reference,true_label,pred_label,description,description_tokens
15680,Specialized Shape,Susceptible Part,"Boilermaker was positioning heel block to prepare for welding on bucket of excavator 55.
injured_person's LH (little finger) became wedged between wear strip and heel block resulting in a laceration to pad of finger, approx. 1.5cm.

PPE was worn at all times throughout the task. ","['boilermaker', 'was', 'positioning', 'heel', 'block', 'to', 'prepare', 'for', 'welding', 'on', 'bucket', 'of', 'excavator', '<num>', 'injured', 'person', 's', 'lh', 'little', 'finger', 'became', 'wedged', 'between', 'wear', 'strip', 'and', 'heel', 'block', 'resulting', 'in', 'a', 'laceration', 'to', 'pad', 'of', 'finger', 'approx', '1.5cm', 'ppe', 'was', 'worn', 'at', 'all', 'times', 'throughout', 'the', 'task']"
11399,Specialized Shape,Susceptible Part,"injured_person was tasked with carrying out various repairs to an excavator bucket,  using oxy-acetalene, grinding and welding equipment. The injured_person reported unusually strong winds, and that at the time they were wearing double eye protection, safety glasses and welding helmet.
The following morning, the injured_person awoke and felt discomfort in their right eye. On assessment at the medical centre, it was identified a foreign object was in the injured_person’s eye. 
","['injured', 'person', 'was', 'tasked', 'with', 'carrying', 'out', 'various', 'repairs', 'to', 'an', 'excavator', 'bucket', 'using', 'oxy-acetalene', 'grinding', 'and', 'welding', 'equipment', 'the', 'injured', 'person', 'reported', 'unusually', 'strong', 'winds', 'and', 'that', 'at', 'the', 'time', 'they', 'were', 'wearing', 'double', 'eye', 'protection', 'safety', 'glasses', 'and', 'welding', 'helmet', 'the', 'following', 'morning', 'the', 'injured', 'person', 'awoke', 'and', 'felt', 'discomfort', 'in', 'their', 'right', 'eye', 'on', 'assessment', 'at', 'the', 'medical', 'centre', 'it', 'was', 'identified', 'a', 'foreign', 'object', 'was', 'in', 'the', 'injured', 'person', 's', 'eye']"
27143,Specialized Shape,Susceptible Part,"•	While installing an overhead beam, dislodged dust off existing beam, fell into eyes. Standard clears PPE glasses worn at the time; dust particles fell through open areas into eye.
•	Spent 20 minutes flushing eye with portable station.
•	Presented to clinic for review, reports itchy upper & lower orbits.
•	Nil visual acuity issues, nil blurred vision, conjunctiva not reddened or inflamed, eyes not watering, nil overt evidence of FB contamination comparable to L eye
","['while', 'installing', 'an', 'overhead', 'beam', 'dislodged', 'dust', 'off', 'existing', 'beam', 'fell', 'into', 'eyes', 'standard', 'clears', 'ppe', 'glasses', 'worn', 'at', 'the', 'time', 'dust', 'particles', 'fell', 'through', 'open', 'areas', 'into', 'eye', 'spent', '<num>', 'minutes', 'flushing', 'eye', 'with', 'portable', 'station', 'presented', 'to', 'clinic', 'for', 'review', 'reports', 'itchy', 'upper', 'lower', 'orbits', 'nil', 'visual', 'acuity', 'issues', 'nil', 'blurred', 'vision', 'conjunctiva', 'not', 'reddened', 'or', 'inflamed', 'eyes', 'not', 'watering', 'nil', 'overt', 'evidence', 'of', 'fb', 'contamination', 'comparable', 'to', 'l', 'eye']"
39610,Specialized Shape,Susceptible Part,injured_person exposed to foriegn body in eye whilst performing boilermaking duties,"['injured', 'person', 'exposed', 'to', 'foriegn', 'body', 'in', 'eye', 'whilst', 'performing', 'boilermaking', 'duties']"
31971,Specialized Shape,Susceptible Part,"NLO MAINT- FAI-Metal swarf in eye, hard hard brushed freshly cut steel and swarf fell behind glasses into injured_person left eye.","['nlo', 'maint', 'fai-metal', 'swarf', 'in', 'eye', 'hard', 'hard', 'brushed', 'freshly', 'cut', 'steel', 'and', 'swarf', 'fell', 'behind', 'glasses', 'into', 'injured', 'person', 'left', 'eye']"
29464,Susceptible Part,Specialized Shape,"injured_person was cleaning their work area when, their knife fell the shelf above work station resulting in a slight cut to the right thumb.","['injured', 'person', 'was', 'cleaning', 'their', 'work', 'area', 'when', 'their', 'knife', 'fell', 'the', 'shelf', 'above', 'work', 'station', 'resulting', 'in', 'a', 'slight', 'cut', 'to', 'the', 'right', 'thumb']"
8016,Machine,Vehicular,"At approximately 09:05am excavator 71 was top loading material from the 210-325 shot. dump truck 85 approached, manoeuvred into position, and began reversing under the bucket of excavator 71. As dump truck 85 completed reversing, the bucket of excavator 71 contacted the tray on dump truck 85. 
The contact occurred as the dove tail on the dump truck was in the proximity of the cab of excavator 71; the excavator operator has used the bucket along with the horn to stop the dump truck.

","['at', 'approximately', '<time>', 'excavator', '<num>', 'was', 'top', 'loading', 'material', 'from', 'the', '210-325', 'shot', 'dump', 'truck', '<num>', 'approached', 'manoeuvred', 'into', 'position', 'and', 'began', 'reversing', 'under', 'the', 'bucket', 'of', 'excavator', '<num>', 'as', 'dump', 'truck', '<num>', 'completed', 'reversing', 'the', 'bucket', 'of', 'excavator', '<num>', 'contacted', 'the', 'tray', 'on', 'dump', 'truck', '<num>', 'the', 'contact', 'occurred', 'as', 'the', 'dove', 'tail', 'on', 'the', 'dump', 'truck', 'was', 'in', 'the', 'proximity', 'of', 'the', 'cab', 'of', 'excavator', '<num>', 'the', 'excavator', 'operator', 'has', 'used', 'the', 'bucket', 'along', 'with', 'the', 'horn', 'to', 'stop', 'the', 'dump', 'truck']"
2991,Machine,Vehicular,"While being loaded a dump truck operator moved away from the digger when they thought that the truck had been fully loaded. The  truck operator realised that the truck was not fully loaded and reversed the truck back under the digger. The digger operator did not know that the truck had reversed back under the digger and swung the digger around narrowly missing the stationary truck. There was no contact between the digger and the dump truck. No injuries were sustained.

An investigation has commenced.","['while', 'being', 'loaded', 'a', 'dump', 'truck', 'operator', 'moved', 'away', 'from', 'the', 'digger', 'when', 'they', 'thought', 'that', 'the', 'truck', 'had', 'been', 'fully', 'loaded', 'the', 'truck', 'operator', 'realised', 'that', 'the', 'truck', 'was', 'not', 'fully', 'loaded', 'and', 'reversed', 'the', 'truck', 'back', 'under', 'the', 'digger', 'the', 'digger', 'operator', 'did', 'not', 'know', 'that', 'the', 'truck', 'had', 'reversed', 'back', 'under', 'the', 'digger', 'and', 'swung', 'the', 'digger', 'around', 'narrowly', 'missing', 'the', 'stationary', 'truck', 'there', 'was', 'no', 'contact', 'between', 'the', 'digger', 'and', 'the', 'dump', 'truck', 'no', 'injuries', 'were', 'sustained', 'an', 'investigation', 'has', 'commenced']"
225,Machine,Vehicular,"Blast Crew labourer 1 (BCL 1) entered the pattern on foot to pick up another person for smoko. As BCL1 approached the other person he was asked by the shot firer to relocate the stemming loader off the shot. BCL1 started to reverse the stemming loader he the felt contact with what he thought was a rock, instead he hit a drill rod. Another nearby member of the blast crew came over and told him to stop as he had made contact with an abandoned drill rod that was projecting out of the ground.","['blast', 'crew', 'labourer', '<num>', 'bcl', '<num>', 'entered', 'the', 'pattern', 'on', 'foot', 'to', 'pick', 'up', 'another', 'person', 'for', 'smoko', 'as', 'bcl1', 'approached', 'the', 'other', 'person', 'he', 'was', 'asked', 'by', 'the', 'shot', 'firer', 'to', 'relocate', 'the', 'stemming', 'loader', 'off', 'the', 'shot', 'bcl1', 'started', 'to', 'reverse', 'the', 'stemming', 'loader', 'he', 'the', 'felt', 'contact', 'with', 'what', 'he', 'thought', 'was', 'a', 'rock', 'instead', 'he', 'hit', 'a', 'drill', 'rod', 'another', 'nearby', 'member', 'of', 'the', 'blast', 'crew', 'came', 'over', 'and', 'told', 'him', 'to', 'stop', 'as', 'he', 'had', 'made', 'contact', 'with', 'an', 'abandoned', 'drill', 'rod', 'that', 'was', 'projecting', 'out', 'of', 'the', 'ground']"
51075,Gravitational,Human,"A Fitter was bolting a flange to connect a pipe to the flotation tank using an EWP. After completing the bolt-up of the last of four flanges the fitter began retracting the EWP basket prior to descending to the ground.  The spotter identified and communicated that the bottom of the basket was caught on an eagle clamp supporting a chain block below. The eagle clamp was orientated with the screw facing upward.  The operator then extended the basket which released in an upward motion, resulting in the operator impacting the anti-crush bar immobilising the EWP. The spotter was able to lower the basket to the ground with the ground controls. The operator was not injured in the event. ","['a', 'fitter', 'was', 'bolting', 'a', 'flange', 'to', 'connect', 'a', 'pipe', 'to', 'the', 'flotation', 'tank', 'using', 'an', 'ewp', 'after', 'completing', 'the', 'bolt-up', 'of', 'the', 'last', 'of', 'four', 'flanges', 'the', 'fitter', 'began', 'retracting', 'the', 'ewp', 'basket', 'prior', 'to', 'descending', 'to', 'the', 'ground', 'the', 'spotter', 'identified', 'and', 'communicated', 'that', 'the', 'bottom', 'of', 'the', 'basket', 'was', 'caught', 'on', 'an', 'eagle', 'clamp', 'supporting', 'a', 'chain', 'block', 'below', 'the', 'eagle', 'clamp', 'was', 'orientated', 'with', 'the', 'screw', 'facing', 'upward', 'the', 'operator', 'then', 'extended', 'the', 'basket', 'which', 'released', 'in', 'an', 'upward', 'motion', 'resulting', 'in', 'the', 'operator', 'impacting', 'the', 'anti-crush', 'bar', 'immobilising', 'the', 'ewp', 'the', 'spotter', 'was', 'able', 'to', 'lower', 'the', 'basket', 'to', 'the', 'ground', 'with', 'the', 'ground', 'controls', 'the', 'operator', 'was', 'not', 'injured', 'in', 'the', 'event']"
